법안코드,법안명,제안자,접수일자,prediction
PRC_J2J1O0F1I1T4S1T8T0O9T3U6K9R2H0,수산업협동조합법 일부개정법률안(윤준병의원등11인),윤준병,2021-01-26,0.1233558
PRC_X2G1V0I1W1B4B1J8V0M6V5V2M5E9Q7,농업협동조합법 일부개정법률안(윤준병의원등11인),윤준병,2021-01-26,0.089064725
PRC_D2C1D0L1F2E6B1Q8D0Z3M3W0D5T5O9,초·중등교육법 일부개정법률안(곽상도의원 등 11인),곽상도,2021-01-26,0.034569543
PRC_W2I1A0Z1U2S6K1P3G4E6U0P7K4Z9H5,소상공인 보호 및 지원에 관한 법률 일부개정법률안(정청래의원등10인),정청래,2021-01-26,0.23536615
PRC_R2Z1J0Z1Y1J4E1H8P0G9L4D2E4R5I4,산림조합법 일부개정법률안(윤준병의원등11인),윤준병,2021-01-26,0.07490073
PRC_K2I1W0D1I2R6O1O7J5G2Y1K8C8A2G3,비영리민간단체 지원법 일부개정법률안(곽상도의원 등 10인),곽상도,2021-01-26,0.14484043
PRC_K2E1A0M1X2I1S0P9Y4V0C4W5L7Y8A9,장애인복지법 일부개정법률안(강선우의원등10인),강선우,2021-01-26,0.22143547
PRC_V2S1I0A1J2W1X0F9X3D8O2H3W6Q7V5,장애인 건강권 및 의료접근성 보장에 관한 법률 일부개정법률안(강선우의원등11인),강선우,2021-01-26,0.1878655
PRC_L2J1I0G1Z2I0E1K7U2Z4Z4K5I1R5D4,국가재정법 일부개정법률안(김정호의원등12인),김정호,2021-01-26,0.37290412
PRC_Z2E1V0T1B2D2P1N3B5B7J2D5U9S7D6,산업기술개발사업의 안전관리 및 피해보상 등에 관한 법률안(김정호의원 등 12인),김정호,2021-01-26,0.08515044
PRC_S2Y1X0S1A2F0O0W9P4O9C3Y6U3V7U3,지뢰피해자 지원에 관한 특별법 일부개정법률안(설훈의원 등 12인),설훈,2021-01-26,0.1302315
PRC_J2B1R0J1J1V5U1K3W5S6C0J2Y6J7I9,국회법 일부개정법률안(송옥주의원등11인),송옥주,2021-01-26,0.061638895
PRC_K2S1A0X1B2S6W1Q4Z5P8K1M3O7V1U7,산업집적활성화 및 공장설립에 관한 법률 일부개정법률안(김정재의원 등 10인),김정재,2021-01-26,0.12041471
PRC_W2B1G0R1Q2N5N0T9Y0M4M3H8T9D1P3,전기사업법 일부개정법률안(이장섭의원 등 10인),이장섭,2021-01-26,0.2116115
PRC_I2R1V0T1E2F6Y1S4P3V4M5I2X1H1H2,응급의료에 관한 법률 일부개정법률안(이명수의원 등 11인),이명수,2021-01-26,0.06815608
PRC_O2J1T0V1V1M5C1W4G0J1E4J0K3A7Y2,화학물질관리법 일부개정법률안(송옥주의원 등 10인),송옥주,2021-01-26,0.35466623
PRC_M2C1W0M1R1N4U1A1E4E9O4S4J1T8H9,초·중등교육법 일부개정법률안(김미애의원등10인),김미애,2021-01-26,0.0441977
PRC_J2E1E0Z1L2A6C1X1P0K1X5F1X6J7F4,부정경쟁방지 및 영업비밀보호에 관한 법률 일부개정법률안(홍성국의원 등 13인),홍성국,2021-01-26,0.10301377
PRC_B2I0U1W2J1N7N1F7S5X5B1W6H9F6J8,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(양정숙의원 등 10인),양정숙,2021-01-26,0.08459494
PRC_J2J1Y0T1H2X0X1C7A1T8X5F1Q2M7Z4,공무원 재해보상법 일부개정법률안(김정호의원등12인),김정호,2021-01-26,0.072083175
PRC_Z2V1B0D1F2K6F1L7C0V1X5V3N6B1N8,농지법 일부개정법률안(김승남의원 등 10인),김승남,2021-01-26,0.5444722
PRC_G2A1V0G1V2X5R0V9A0M3J4W6N4K5N0,감염병의 예방 및 관리에 관한 법률 일부개정법률안(이장섭의원 등 10인),이장섭,2021-01-26,0.3194362
PRC_I2M0R1T1E0O2Y1D4K1H5N4W5C4M3A1,공직선거법 일부개정법률안(김영배의원등10인),김영배,2021-01-26,0.0704873
PRC_M2L1J0C1O0S5Y1P4R2L7V4N6C7Q6H1,자원의 절약과 재활용촉진에 관한 법률 일부개정법률안(이원욱의원등10인),이원욱,2021-01-26,0.3934857
PRC_G2M1H0U1O1O2Q1X3H3Y8B0R4E8T8Y2,기초연금법 일부개정법률안(김성주의원 등 11인),김성주,2021-01-25,0.108175814
PRC_D2C1J0D1O0T5L1X4N1O1I1Z6F6B6Z8,고엽제후유의증 등 환자지원 및 단체설립에 관한 법률 일부개정법률안(유동수의원 등 40인),유동수,2021-01-25,0.030975744
PRC_M2A1U0M1C2P5C1X7R2T9L2P5E8Z2O8,국가재정법 일부개정법률안(송재호의원 등 10인),송재호,2021-01-25,0.13360238
